"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"915",621244,"Berríos, José","915","100.0","0.223","0.158","0.294","0.381","0.292","0.340","0.261","48","215","86.4","10.5","2290","90.2","89.26","110","429","486","-0.9","6.41","108","156","118","149","300","328","297"
"819",450203,"Morton, Charlie","819","100.0","0.231","0.097","0.315","0.328","0.292","0.305","0.236","45","195","87.1","6.4","2559","89.1","88.86","109","379","440","-0.2","6.28","109","151","121","150","300","321","295"
"807",628711,"Urías, Julio","807","100.0","0.241","0.161","0.301","0.402","0.293","0.314","0.250","48","199","86.7","17.0","2657","89.4","88.32","110","415","392","-1.1","5.53","112","156","116","150","299","317","289"
"779",554430,"Wheeler, Zack","779","100.0","0.218","0.086","0.298","0.305","0.258","0.261","0.214","43","197","84.6","9.5","2373","95.3","96.66","102","396","383","1.4","7.17","112","152","116","150","297","323","293"
"776",605540,"Woodruff, Brandon","776","100.0","0.126","0.038","0.186","0.164","0.177","0.249","0.189","23","183","86.2","5.1","2416","94.4","93.72","98","393","383","-0.7","6.52","110","156","118","150","300","323","297"
"770",607192,"Glasnow, Tyler","770","100.0","0.151","0.113","0.239","0.264","0.225","0.238","0.168","32","212","91.3","16.4","2556","94.1","95.40","137","394","376","1.3","7.37","107","159","119","150","302","321","293"
"751",605288,"Houser, Adrian","751","100.0","0.230","0.137","0.267","0.366","0.300","0.317","0.242","37","161","89.3","-0.2","2050","91.2","91.20","64","339","412","0.0","6.46","107","151","115","148","300","318","294"
"751",518876,"Kelly, Merrill","751","100.0","0.274","0.177","0.326","0.452","0.338","0.344","0.270","51","186","90.6","11.5","2439","88.5","88.19","64","333","418","-0.3","6.32","112","153","117","150","304","331","305"
"750",448179,"Hill, Rich","750","100.0","0.199","0.125","0.254","0.324","0.270","0.320","0.242","35","176","90.1","14.1","2569","81.5","80.97","97","347","403","-0.5","6.36","103","155","116","148","305","323","293"
"748",425844,"Greinke, Zack","748","100.0","0.285","0.179","0.306","0.464","0.341","0.330","0.279","51","179","85.9","18.9","2293","83.5","82.77","58","326","422","-0.7","5.96","114","155","116","151","289","324","291"
"740",572070,"Richards, Garrett","740","100.0","0.247","0.141","0.287","0.388","0.319","0.349","0.270","42","170","92.3","6.6","2742","90.7","89.48","80","338","402","-1.2","5.96","110","155","116","148","292","328","300"
"735",571760,"Heaney, Andrew","735","100.0","0.237","0.180","0.302","0.417","0.317","0.335","0.244","33","139","89.9","21.1","2527","88.7","87.84","106","347","388","-0.9","6.05","113","158","116","150","301","325","297"
"712",640455,"Manaea, Sean","712","100.0","0.265","0.171","0.306","0.435","0.325","0.331","0.264","45","170","89.5","16.2","1989","89.2","89.92","79","346","366","0.7","7.12","109","150","120","152","301","326","301"
